     Index       y_measurement           y_fitting        descriptor_1        descriptor_2
        45    0.2375000000E+01    0.2396251366E+01   -0.4747322003E+01    0.9746187776E-01
        46    0.2041000000E+01    0.1641551291E+01   -0.3406922334E+01    0.1045133135E+00
        47    0.2028000000E+01    0.2156691339E+01   -0.4236650491E+01    0.1032555845E+00
        48    0.1859000000E+01    0.2083334587E+01   -0.3706059718E+01    0.1206464696E+00
        49    0.1960000000E+01    0.1781233330E+01   -0.3546903519E+01    0.1077196005E+00
        50    0.1413000000E+01    0.1749925782E+01   -0.3769386675E+01    0.9640697214E-01
        51    0.1521000000E+01    0.1473582921E+01   -0.3285930275E+01    0.9868230993E-01
        52    0.1776000000E+01    0.1733425361E+01   -0.3875430152E+01    0.9091274307E-01
        53    0.2078000000E+01    0.2136427927E+01   -0.3685010538E+01    0.1249640439E+00
        54    0.4720000000E+01    0.4748850956E+01   -0.8573226152E+01    0.9019020839E-01
        55    0.1393000000E+01    0.1638370907E+01   -0.4030458701E+01    0.7828588901E-01
        56    0.1370000000E+01    0.1438199311E+01   -0.3220095352E+01    0.9913773960E-01
        57    0.8810000000E+00    0.1175904877E+01   -0.3356784229E+01    0.7644317549E-01
        58    0.1497000000E+01    0.1569652799E+01   -0.3424792168E+01    0.9911030565E-01
        59    0.2129000000E+01    0.2034959377E+01   -0.4472137363E+01    0.8554299442E-01
        60    0.1995000000E+01    0.2071623375E+01   -0.4565718390E+01    0.8401260239E-01
        61    0.4181000000E+01    0.3953418899E+01   -0.6749733864E+01    0.1147636240E+00
        62    0.1786000000E+01    0.1509446410E+01   -0.4016200177E+01    0.7052977085E-01
        63    0.1222000000E+01    0.1359713576E+01   -0.3499137701E+01    0.8240879073E-01
        64    0.1536000000E+01    0.1872843113E+01   -0.4120587749E+01    0.8971268973E-01
        65    0.5676000000E+01    0.5983608604E+01   -0.8847219478E+01    0.1587380230E+00
        66    0.2386000000E+01    0.2401676496E+01   -0.4562569522E+01    0.1055233822E+00
        67    0.2282000000E+01    0.1912880314E+01   -0.4123320191E+01    0.9219209106E-01
        68    0.1772000000E+01    0.2122003890E+01   -0.4182809338E+01    0.1032555845E+00
        69    0.2244000000E+01    0.2177714487E+01   -0.3882243431E+01    0.1194074823E+00
        70    0.1915000000E+01    0.1904998803E+01   -0.4467984208E+01    0.7729804663E-01
        71    0.2279000000E+01    0.2317321946E+01   -0.4705499495E+01    0.9409451796E-01
        72    0.1174000000E+01    0.1421520998E+01   -0.3487422142E+01    0.8690131385E-01
