     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3        descriptor_4
        82    0.1772000000E+01    0.1452745697E+01   -0.7148844175E+00    0.2064075858E+00   -0.9680505035E+00   -0.6140418927E+02
        83    0.4872000000E+01    0.4765613488E+01   -0.1568651020E+01   -0.3182547410E-01   -0.7651395131E-01   -0.3128283061E+02
        84    0.1869000000E+01    0.1982771711E+01   -0.6744005633E+00   -0.3950978087E-01   -0.4851609567E+00   -0.2777725507E+02
        85    0.1570000000E+01    0.1452745697E+01   -0.7148844175E+00    0.2064075858E+00   -0.9680505035E+00   -0.6140418927E+02
        86    0.2417000000E+01    0.2362983532E+01   -0.6916496367E+00   -0.2783006950E+00   -0.9194716061E+00    0.4903295169E+02
        87    0.2190000000E+01    0.2149562370E+01   -0.7325762636E+00   -0.2658585563E-01   -0.5733012399E+00   -0.8820178404E+02
        88    0.2038000000E+01    0.2008956370E+01   -0.6789358731E+00   -0.3847695611E-01   -0.4371844544E+00   -0.2849210952E+02
        89    0.4712000000E+01    0.4451158810E+01   -0.1535107261E+01    0.1683247748E+00    0.6195179769E+00   -0.4734579751E+02
        90    0.2419000000E+01    0.2535655424E+01   -0.7796798371E+00   -0.2358812437E+00   -0.9142912057E+00    0.4927873038E+02
        91    0.2139000000E+01    0.2096814032E+01   -0.6908006920E+00   -0.3155135021E-01   -0.3267145890E+00   -0.7272078103E+02
        92    0.1987000000E+01    0.2096351742E+01   -0.6372003266E+00   -0.2181157288E+00   -0.6609460104E+00    0.1135783101E+03
        93    0.1608000000E+01    0.1632429661E+01   -0.6850738514E+00    0.1586566753E+00   -0.6248189357E+00   -0.1422346363E+03
        94    0.1714000000E+01    0.1803793798E+01   -0.6529631456E+00   -0.4601437299E-01   -0.9245254122E+00   -0.3035828324E+02
        95    0.2256000000E+01    0.2295428631E+01   -0.6709042967E+00   -0.2848713632E+00   -0.9857291755E+00    0.4903295169E+02
        96    0.2021000000E+01    0.2189796199E+01   -0.7470496549E+00   -0.2599344676E-01   -0.5734734883E+00   -0.8598884021E+02
        97    0.4112000000E+01    0.4000018264E+01   -0.1393572506E+01   -0.6031102059E-01   -0.9752413192E+00    0.1462275254E+02
        98    0.2094000000E+01    0.1996926194E+01   -0.6966888249E+00   -0.6529869248E-01   -0.8226158526E+00   -0.1769123650E+02
        99    0.2078000000E+01    0.2048163350E+01   -0.7142565443E+00   -0.6678308657E-01   -0.8829856974E+00   -0.3497229869E+02
       100    0.3054000000E+01    0.3113532470E+01   -0.1370975609E+01    0.3261354351E+00   -0.9975978529E+00   -0.1868234500E+02
       101    0.1732000000E+01    0.1868671870E+01   -0.8288811567E+00    0.1743478438E+00   -0.9311836599E+00   -0.5422106056E+02
       102    0.2103000000E+01    0.1991764262E+01   -0.7216927752E+00   -0.3655996644E-01   -0.9258185113E+00   -0.3455758939E+02
       103    0.2719000000E+01    0.3007398880E+01   -0.1128181141E+01    0.2596332950E+00    0.5937467568E+00   -0.2064510122E+02
       104    0.1339000000E+01    0.1445347033E+01   -0.6242168111E+00    0.2048619069E+00   -0.2119616610E+00   -0.1064289964E+03
       105    0.2198000000E+01    0.2319087449E+01   -0.6609682666E+00   -0.6963043769E-01    0.6221437486E+00   -0.3501072689E+01
       106    0.5139000000E+01    0.5072890472E+01   -0.1489382688E+01   -0.2197952166E+00    0.5626328258E+00    0.3780693516E+02
       107    0.1458000000E+01    0.1563325703E+01   -0.6274351811E+00   -0.3757410796E-01   -0.3417381237E+00    0.3797749000E+03
       108    0.3321000000E+01    0.3318020212E+01   -0.1425422158E+01    0.3056098671E+00   -0.9702875874E+00   -0.4515329043E+01
       109    0.1588000000E+01    0.1544593227E+01   -0.6702293476E+00   -0.3064295661E-01   -0.5722799737E+00    0.4606224417E+03
       110    0.2192000000E+01    0.2026247665E+01   -0.7088816609E+00   -0.3915801614E-01   -0.8004026103E+00   -0.7278837673E+02
       111    0.4837000000E+01    0.4581914773E+01   -0.1573825796E+01    0.1628351677E+00    0.6716671679E+00   -0.3128283061E+02
       112    0.1942000000E+01    0.1961188450E+01   -0.7114438838E+00   -0.3734827478E-01   -0.9290145013E+00   -0.3369055473E+02
