     Index       y_measurement           y_fitting        descriptor_1
        98    0.1782000000E+01    0.1446740459E+01    0.2052677883E+01
        99    0.5400000000E-01    0.4077953162E+00    0.1885652784E+01
       100   -0.4800000000E-01    0.4743543666E+00    0.1896353091E+01
       101    0.1730000000E+01    0.1570341691E+01    0.2072548526E+01
       102    0.6020000000E+00    0.2904213194E+00    0.1866783257E+01
       103    0.8210000000E+00    0.8578901392E+00    0.1958011881E+01
       104    0.1418000000E+01    0.1480273415E+01    0.2058068779E+01
       105    0.1268000000E+01    0.1224160735E+01    0.2016895050E+01
       106    0.2580000000E+01    0.2267555838E+01    0.2184635543E+01
       107    0.4030000000E+00    0.3259500126E+00    0.1872494996E+01
       108    0.2000000000E+00    0.2721215642E+00    0.1863841313E+01
       109    0.7990000000E+00    0.6257656665E+00    0.1920694595E+01
       110    0.8730000000E+00    0.9136884613E+00    0.1966982249E+01
       111    0.1713000000E+01    0.1937745686E+01    0.2131613905E+01
       112    0.1108000000E+01    0.9785564689E+00    0.1977410697E+01
       113    0.2252000000E+01    0.2210259128E+01    0.2175424288E+01
       114    0.5090000000E+00    0.4752651917E+00    0.1896499519E+01
