     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3
        24   -0.1760000000E+00   -0.1265066747E+00    0.1182819284E+04    0.8181781771E+01   -0.4065220978E+00
        25    0.2374000000E+01    0.2271238187E+01    0.2585839013E+04   -0.1928141525E+01   -0.5728037854E+00
        26   -0.1700000000E+00    0.9202055765E-01    0.1166151308E+04   -0.7691438047E+00   -0.8252935319E+00
        27    0.5820000000E+00    0.5072217085E+00    0.1330438900E+04   -0.5412685431E+01   -0.8620420544E+00
        28    0.1121000000E+01    0.8902540740E+00    0.1608507153E+04   -0.1282493106E+01   -0.3440281975E+00
        29    0.1130000000E+01    0.1262580700E+01    0.2019617829E+04    0.5097880237E+01   -0.2294033423E+00
        30    0.1090000000E+00    0.2850188426E+00    0.1153717101E+04   -0.3452381788E+01   -0.4585231959E+00
        31    0.2441000000E+01    0.2432025174E+01    0.2670697778E+04   -0.2304626565E+01   -0.4930608263E+00
        32    0.1110000000E+01    0.1101881841E+01    0.1531807288E+04   -0.1161709401E+02   -0.6753316419E+00
        33    0.1420000000E+01    0.1523339280E+01    0.2001793742E+04   -0.3703883589E+01   -0.4704785354E+00
        34    0.1520000000E+00    0.2949677562E+00    0.1235511579E+04    0.3355928882E+01    0.1298405099E+00
        35    0.1344000000E+01    0.1316488262E+01    0.2142453324E+04   -0.3256014470E+00   -0.1449827067E+01
        36    0.4870000000E+00    0.4346783525E+00    0.1174220600E+04   -0.6430131264E+01   -0.4585231959E+00
        37    0.1009000000E+01    0.8980206998E+00    0.1610987120E+04   -0.1385952182E+01   -0.3440281975E+00
        38    0.1794000000E+01    0.1695287640E+01    0.2329382868E+04   -0.9088811372E+00   -0.1151281421E+01
        39    0.2760000000E+00    0.2053104467E+00    0.1014604420E+04   -0.9961213622E+01   -0.9559891572E+00
        40   -0.3120000000E+00    0.2550572163E-01    0.1038898375E+04   -0.1218969571E+01   -0.4687005940E+00
        41    0.2281000000E+01    0.1950960865E+01    0.2425359786E+04   -0.1790478366E+01   -0.8636207373E+00
        42    0.6730000000E+00    0.7419640718E+00    0.1688644214E+04    0.5799045108E+01   -0.2712572923E+00
        43    0.1495000000E+01    0.1303275131E+01    0.2114974568E+04   -0.2651294946E+01   -0.1688137400E+01
        44    0.1596000000E+01    0.2166850504E+01    0.2588696198E+04   -0.1247480915E+00   -0.7007187141E+00
        45    0.5360000000E+00    0.6567363124E+00    0.1552652214E+04   -0.1508011425E+00   -0.7243885970E+00
        46    0.7360000000E+00    0.7674920418E+00    0.1199831954E+04   -0.1557791853E+02   -0.7172258302E+00
        47    0.7490000000E+00    0.9872643278E+00    0.1350518725E+04   -0.1503680852E+02   -0.6362927771E+00
        48    0.2492000000E+01    0.2504381592E+01    0.2772409054E+04    0.1694840873E+01   -0.1880677116E+00
        49    0.3740000000E+00    0.1720488714E+00    0.1357423644E+04    0.7471673283E+01   -0.3481005020E+00
        50    0.9030000000E+00    0.5934310950E+00    0.1357382177E+04   -0.2273438028E+01   -0.2444993080E+00
        51    0.4680000000E+00    0.6673824503E+00    0.1381656646E+04   -0.7543417061E+01   -0.8620420544E+00
        52    0.6690000000E+00    0.7017490051E+00    0.1657554657E+04    0.5676534165E+01   -0.2712572923E+00
        53    0.3390000000E+00    0.7483084403E+00    0.1729281868E+04    0.6149592900E+01   -0.4085120848E+00
        54    0.2338000000E+01    0.2223601250E+01    0.2543527436E+04    0.6142648588E+00   -0.1592645718E+00
        55    0.7600000000E-01    0.1579535195E+00    0.1188431277E+04    0.9558455564E+00   -0.4585231959E+00
        56    0.1969000000E+01    0.2116463229E+01    0.2538885023E+04   -0.5473969346E+00   -0.6831640083E+00
        57    0.1195000000E+01    0.1003860393E+01    0.1639439144E+04    0.7030702689E+00    0.1850750872E+00
        58    0.1712000000E+01    0.1653790282E+01    0.2335225799E+04    0.3325993618E+00   -0.1151281421E+01
        59   -0.2080000000E+00   -0.2334679695E+00    0.1049427671E+04    0.5496022085E+01   -0.4826444595E+00
        60    0.1060000000E+00    0.1125523561E+00    0.1409871915E+04    0.1079098501E+02   -0.3553063595E+00
        61    0.7650000000E+00    0.8554941688E+00    0.1554361147E+04   -0.4683708279E+01   -0.6753316419E+00
        62    0.2223000000E+01    0.2364203695E+01    0.2697131960E+04    0.3334219485E+00   -0.4930608263E+00
        63    0.1937000000E+01    0.1728362422E+01    0.2005897646E+04   -0.8648304674E+01   -0.4704785354E+00
        64    0.2023000000E+01    0.2060243776E+01    0.2494299252E+04   -0.7591880118E+00   -0.6831640083E+00
        65    0.2779000000E+01    0.2631473600E+01    0.2776690105E+04   -0.2998264432E+01   -0.4303941094E+00
        66    0.2145000000E+01    0.1968721763E+01    0.2402521959E+04    0.1053514343E+01   -0.2747169434E+00
        67    0.4390000000E+00    0.4239643205E+00    0.1173412001E+04   -0.6193177692E+01   -0.4585231959E+00
        68    0.4580000000E+00    0.5478438917E+00    0.1097268191E+04   -0.1453690518E+02   -0.8197395640E+00
        69    0.2500000000E+00   -0.1671872296E-01    0.1024535930E+04   -0.4088137714E+01   -0.9559891572E+00
        70    0.1890000000E+01    0.2141694834E+01    0.2532703930E+04   -0.1397059493E+01   -0.6831640083E+00
        71    0.1056000000E+01    0.8821879160E+00    0.1605534553E+04   -0.1189363222E+01   -0.3440281975E+00
        72    0.7550000000E+00    0.6228886847E+00    0.1570279865E+04    0.1668022794E+01   -0.6753316419E+00
        73    0.8170000000E+00    0.8653807727E+00    0.1632420148E+04    0.1978529717E+00   -0.3440281975E+00
        74    0.2464000000E+01    0.2504431083E+01    0.2785265424E+04    0.4665774246E+00   -0.4303941094E+00
        75    0.8670000000E+00    0.8298744701E+00    0.1308810264E+04   -0.1420700172E+02   -0.8620420544E+00
        76    0.1179000000E+01    0.1170689783E+01    0.1356853395E+04   -0.1936431463E+02   -0.6362927771E+00
        77    0.3370000000E+00    0.2445786329E+00    0.1353327309E+04    0.1936525649E+01   -0.8620420544E+00
        78    0.4110000000E+00    0.2066671946E+00    0.1099090391E+04   -0.5996894836E+01   -0.8197395640E+00
        79    0.1160000000E+01    0.1148719820E+01    0.1355267875E+04   -0.1887580497E+02   -0.6362927771E+00
        80    0.1632000000E+01    0.1389607116E+01    0.1729476486E+04   -0.1079226485E+02   -0.5547087376E+00
        81    0.3950000000E+00    0.2318574958E+00    0.1345159381E+04    0.1957884196E+01   -0.8620420544E+00
        82    0.5710000000E+00    0.5166601970E+00    0.1337531857E+04   -0.5391282042E+01   -0.8620420544E+00
        83    0.1231000000E+01    0.1266988592E+01    0.2133496783E+04   -0.1081905737E+01   -0.1688137400E+01
        84    0.1139000000E+01    0.1174673802E+01    0.1345780683E+04   -0.1986266000E+02   -0.6362927771E+00
        85    0.2058000000E+01    0.2141562670E+01    0.2531931999E+04   -0.1421620000E+01   -0.6831640083E+00
        86    0.8870000000E+00    0.7713282946E+00    0.1205176770E+04   -0.1548041936E+02   -0.7172258302E+00
        87    0.2479000000E+01    0.2573698823E+01    0.2785265424E+04   -0.1253922616E+01   -0.4303941094E+00
        88    0.2347000000E+01    0.2404102090E+01    0.2689679799E+04   -0.9263871994E+00   -0.4930608263E+00
        89    0.1319000000E+01    0.1223489611E+01    0.2144523772E+04    0.3962789395E+00   -0.1688137400E+01
        90    0.8600000000E+00    0.8750678510E+00    0.1619438075E+04   -0.5110172142E+00   -0.3440281975E+00
        91   -0.7100000000E-01    0.1367568596E+00    0.1014604420E+04   -0.8258452007E+01   -0.9559891572E+00
