     Index       y_measurement           y_fitting        descriptor_1        descriptor_2
        63    0.1937000000E+01    0.1644472710E+01   -0.8648304674E+01    0.1602104521E+03
        64    0.2023000000E+01    0.1976980510E+01   -0.7591880118E+00    0.2010758915E+03
        65    0.2779000000E+01    0.2599084314E+01   -0.2998264432E+01    0.2366258432E+03
        66    0.2145000000E+01    0.1893772445E+01    0.1053514343E+01    0.1999624204E+03
        67    0.4390000000E+00    0.3938963906E+00   -0.6193177692E+01    0.8382321540E+02
        68    0.4580000000E+00    0.5631939135E+00   -0.1453690518E+02    0.7488553955E+02
        69    0.2500000000E+00    0.8125029537E-01   -0.4088137714E+01    0.6831485597E+02
        70    0.1890000000E+01    0.2077659076E+01   -0.1397059493E+01    0.2061661520E+03
        71    0.1056000000E+01    0.9056572210E+00   -0.1189363222E+01    0.1295413325E+03
        72    0.7550000000E+00    0.6018274047E+00    0.1668022794E+01    0.1164235910E+03
        73    0.8170000000E+00    0.9088035549E+00    0.1978529717E+00    0.1330865941E+03
        74    0.2464000000E+01    0.2490404882E+01    0.4665774246E+00    0.2378119352E+03
        75    0.8670000000E+00    0.8149759695E+00   -0.1420700172E+02    0.9224816503E+02
        76    0.1179000000E+01    0.1107425163E+01   -0.1936431463E+02    0.9908242189E+02
        77    0.3370000000E+00    0.2876911532E+00    0.1936525649E+01    0.9639770473E+02
        78    0.4110000000E+00    0.2531780942E+00   -0.5996894836E+01    0.7503546050E+02
        79    0.1160000000E+01    0.1087304351E+01   -0.1887580497E+02    0.9893390967E+02
        80    0.1632000000E+01    0.1287792325E+01   -0.1079226485E+02    0.1315795303E+03
        81    0.3950000000E+00    0.2752378208E+00    0.1957884196E+01    0.9562959961E+02
        82    0.5710000000E+00    0.5331263856E+00   -0.5391282042E+01    0.9491506048E+02
        83    0.1231000000E+01    0.1587053127E+01   -0.1081905737E+01    0.1746397820E+03
        84    0.1139000000E+01    0.1109921930E+01   -0.1986266000E+02    0.9804749931E+02
        85    0.2058000000E+01    0.2076991133E+01   -0.1421620000E+01    0.2060630947E+03
        86    0.8870000000E+00    0.7470538894E+00   -0.1548041936E+02    0.8471412421E+02
        87    0.2479000000E+01    0.2553320722E+01   -0.1253922616E+01    0.2378119352E+03
        88    0.2347000000E+01    0.2374231786E+01   -0.9263871994E+00    0.2268150141E+03
        89    0.1319000000E+01    0.1554314409E+01    0.3962789395E+00    0.1760425036E+03
        90    0.8600000000E+00    0.9086045686E+00   -0.5110172142E+00    0.1313676656E+03
        91   -0.7100000000E-01    0.2218817150E+00   -0.8258452007E+01    0.6753373518E+02
        92    0.4530000000E+00    0.4463862845E+00   -0.6297520404E+01    0.8702626786E+02
        93   -0.6800000000E-01    0.2215527672E+00    0.9149098267E+00    0.8958698051E+02
        94    0.6930000000E+00    0.8019663202E+00   -0.1354333466E+02    0.9298911018E+02
        95    0.7990000000E+00    0.7139078083E+00   -0.8147749413E+01    0.1001783451E+03
        96    0.1131000000E+01    0.1650132092E+01   -0.2187369753E+01    0.1761305469E+03
        97    0.3180000000E+00    0.8090213422E-01    0.3498671609E+01    0.8654893725E+02
        98    0.1782000000E+01    0.1443101826E+01   -0.9423252281E+00    0.1655028271E+03
        99    0.5400000000E-01    0.1581499510E-01    0.1136072119E+02    0.1011851542E+03
       100   -0.4800000000E-01    0.7581965416E-01    0.1097872788E+02    0.1042145806E+03
       101    0.1730000000E+01    0.1493544812E+01   -0.1703667846E+00    0.1706799230E+03
       102    0.6020000000E+00    0.4319708000E+00   -0.6403506736E+01    0.8582259728E+02
       103    0.8210000000E+00    0.8971379347E+00   -0.5412685431E+01    0.1188176582E+03
       104    0.1418000000E+01    0.1636031988E+01   -0.7072550256E+01    0.1634469179E+03
       105    0.1268000000E+01    0.1263204561E+01    0.5261348908E+01    0.1685931265E+03
       106    0.2580000000E+01    0.2399305465E+01   -0.2269530486E+01    0.2252328531E+03
       107    0.4030000000E+00    0.4464692951E+00   -0.6172993533E+01    0.8733139346E+02
       108    0.2000000000E+00    0.2687284451E+00   -0.2525639829E+01    0.8441203638E+02
       109    0.7990000000E+00    0.8119328310E+00   -0.1427681487E+02    0.9187990937E+02
       110    0.8730000000E+00    0.8472925889E+00   -0.5536231911E+00    0.1272304488E+03
       111    0.1713000000E+01    0.1886235726E+01   -0.2279893623E+01    0.1914449055E+03
