     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3        descriptor_4
        24   -0.1760000000E+00   -0.1604200310E+00    0.3018287926E+01    0.7610885807E-01    0.8181781771E+01    0.8612828778E+00
        25    0.2374000000E+01    0.2333171135E+01    0.3931684433E+01    0.6376394030E-01   -0.1928141525E+01    0.4305178514E+00
        26   -0.1700000000E+00   -0.9216665347E-01    0.3014058952E+01    0.6947217400E-01   -0.7691438047E+00   -0.2668413099E+01
        27    0.5820000000E+00    0.4611511364E+00    0.3107017992E+01    0.7075227517E-01   -0.5412685431E+01    0.3009707931E+00
        28    0.1121000000E+01    0.9844921330E+00    0.3417254417E+01    0.7495079087E-01   -0.1282493106E+01    0.4166613843E+00
        29    0.1130000000E+01    0.1331803355E+01    0.3451206458E+01    0.4865472713E-01    0.5097880237E+01    0.9178369157E+00
        30    0.1090000000E+00    0.2551912028E+00    0.3006860974E+01    0.6595019645E-01   -0.3452381788E+01    0.2869342368E+00
        31    0.2441000000E+01    0.2417049344E+01    0.3921659725E+01    0.5741534992E-01   -0.2304626565E+01    0.3857638011E+00
        32    0.1110000000E+01    0.1109691491E+01    0.3213286191E+01    0.5539780604E-01   -0.1161709401E+02    0.2398933672E+00
        33    0.1420000000E+01    0.1550035492E+01    0.3444179197E+01    0.4561175883E-01   -0.3703883589E+01    0.1379540114E+00
        34    0.1520000000E+00    0.2701337419E+00    0.3054132538E+01    0.7503796016E-01    0.3355928882E+01    0.3367434535E+01
        35    0.1344000000E+01    0.1200635398E+01    0.3570988017E+01    0.7456288145E-01   -0.3256014470E+00   -0.9536370901E+00
        36    0.4870000000E+00    0.4388949271E+00    0.3018727847E+01    0.6217313264E-01   -0.6430131264E+01    0.4664237435E+00
        37    0.1009000000E+01    0.1009644143E+01    0.3418748170E+01    0.7389500530E-01   -0.1385952182E+01    0.4467753593E+00
        38    0.1794000000E+01    0.1673568106E+01    0.3721722611E+01    0.7340745184E-01   -0.9088811372E+00    0.3176839785E+00
        39    0.2760000000E+00    0.2628803302E+00    0.2948197011E+01    0.6779542769E-01   -0.9961213622E+01    0.9542702938E-01
        40   -0.3120000000E+00   -0.2520108890E+00    0.2957751710E+01    0.8293635410E-01   -0.1218969571E+01   -0.5814151094E+00
        41    0.2281000000E+01    0.2047804113E+01    0.3834178813E+01    0.6734786121E-01   -0.1790478366E+01    0.3464785181E+00
        42    0.6730000000E+00    0.7813795893E+00    0.3288126154E+01    0.6166958330E-01    0.5799045108E+01    0.1410972974E+01
        43    0.1495000000E+01    0.1369745239E+01    0.3559112240E+01    0.7169218916E-01   -0.2651294946E+01    0.1297979038E+00
        44    0.1596000000E+01    0.1902087175E+01    0.3981465709E+01    0.7549718852E-01   -0.1247480915E+00   -0.3484672500E+01
        45    0.5360000000E+00    0.6475766390E+00    0.3383585317E+01    0.7628034460E-01   -0.1508011425E+00   -0.2231953048E+01
        46    0.7360000000E+00    0.7988040280E+00    0.3025538647E+01    0.5489300391E-01   -0.1557791853E+02    0.1257246130E+00
        47    0.7490000000E+00    0.1017629946E+01    0.3085835749E+01    0.4845328401E-01   -0.1503680852E+02    0.1006770789E+00
        48    0.2492000000E+01    0.2472304172E+01    0.3920175781E+01    0.5326338456E-01    0.1694840873E+01    0.1734445723E+01
        49    0.3740000000E+00    0.2522179474E+00    0.3118356384E+01    0.7226394384E-01    0.7471673283E+01    0.2231176091E+01
