Predictions (y,pred,y-pred) by the model of dimension:     1
    0.5430000000E+03    0.5313565720E+03    0.1164342801E+02
    0.4630000000E+03    0.4871595172E+03   -0.2415951719E+02
    0.8760000000E+03    0.1011449852E+04   -0.1354498525E+03
    0.3650000000E+03    0.3643923498E+03    0.6076501672E+00
    0.5820000000E+03    0.6143724077E+03   -0.3237240774E+02
    0.4190000000E+03    0.4523378995E+03   -0.3333789948E+02
    0.5230000000E+03    0.4951541591E+03    0.2784584093E+02
    0.5020000000E+03    0.4603617512E+03    0.4163824884E+02
    0.3880000000E+03    0.3928856610E+03   -0.4885661026E+01
    0.4540000000E+03    0.4373900701E+03    0.1660992987E+02
    0.5100000000E+03    0.4781619791E+03    0.3183802086E+02
    0.4690000000E+03    0.4817797753E+03   -0.1277977529E+02
    0.5760000000E+03    0.5394336513E+03    0.3656634870E+02
    0.4370000000E+03    0.4452763535E+03   -0.8276353532E+01
    0.4830000000E+03    0.4796450369E+03    0.3354963074E+01
    0.9860000000E+03    0.9007060683E+03    0.8529393173E+02
    0.3630000000E+03    0.3806585982E+03   -0.1765859816E+02
    0.6350000000E+03    0.6018944710E+03    0.3310552897E+02
    0.4900000000E+03    0.5314499948E+03   -0.4144999483E+02
    0.4040000000E+03    0.3946367674E+03    0.9363232630E+01
    0.5490000000E+03    0.5560392116E+03   -0.7039211594E+01
    0.7810000000E+03    0.7627325406E+03    0.1826745935E+02
    0.5350000000E+03    0.5691828417E+03   -0.3418284173E+02
    0.5020000000E+03    0.5268667627E+03   -0.2486676270E+02
    0.4960000000E+03    0.4805735178E+03    0.1542648221E+02
    0.3650000000E+03    0.3873536193E+03   -0.2235361934E+02
    0.4150000000E+03    0.4531152005E+03   -0.3811520048E+02
    0.5170000000E+03    0.5231925299E+03   -0.6192529858E+01
    0.4120000000E+03    0.4283818993E+03   -0.1638189930E+02
    0.5650000000E+03    0.5758955843E+03   -0.1089558433E+02
    0.5850000000E+03    0.5726897673E+03    0.1231023268E+02
    0.5370000000E+03    0.5034498037E+03    0.3355019627E+02
    0.4800000000E+03    0.4788700726E+03    0.1129927448E+01
    0.4950000000E+03    0.5120218522E+03   -0.1702185224E+02
    0.5310000000E+03    0.5057206155E+03    0.2527938455E+02
    0.4450000000E+03    0.4520932130E+03   -0.7093213042E+01
    0.5920000000E+03    0.5373261644E+03    0.5467383557E+02
    0.5830000000E+03    0.5704067073E+03    0.1259329268E+02
    0.4180000000E+03    0.4113276443E+03    0.6672355653E+01
    0.4790000000E+03    0.4866917657E+03   -0.7691765698E+01
    0.6250000000E+03    0.6119756990E+03    0.1302430096E+02
    0.4570000000E+03    0.4944229696E+03   -0.3742296959E+02
    0.5830000000E+03    0.5245460425E+03    0.5845395748E+02
    0.4110000000E+03    0.3982125160E+03    0.1278748404E+02
Prediction RMSE and MaxAE:        34.5032968678      135.4498524798
Predictions (y,pred,y-pred) by the model of dimension:     3
    0.7400000000E+03    0.6804554082E+03    0.5954459180E+02
    0.6380000000E+03    0.5904183048E+03    0.4758169523E+02
    0.6000000000E+03    0.6138231077E+03   -0.1382310768E+02
    0.5240000000E+03    0.5150083520E+03    0.8991647996E+01
    0.5240000000E+03    0.5197020391E+03    0.4297960939E+01
    0.4920000000E+03    0.5374625657E+03   -0.4546256568E+02
    0.5160000000E+03    0.5228744973E+03   -0.6874497304E+01
    0.3820000000E+03    0.3791362142E+03    0.2863785833E+01
    0.5900000000E+03    0.5400226276E+03    0.4997737240E+02
    0.5240000000E+03    0.5441739499E+03   -0.2017394993E+02
    0.6980000000E+03    0.7723576988E+03   -0.7435769878E+02
    0.9570000000E+03    0.9108154924E+03    0.4618450756E+02
    0.4490000000E+03    0.4472911267E+03    0.1708873328E+01
    0.5350000000E+03    0.5021854469E+03    0.3281455311E+02
    0.5880000000E+03    0.5760483481E+03    0.1195165186E+02
