     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3        descriptor_4
        94    0.2428000000E+01    0.2597019672E+01   -0.4448343652E+01   -0.1806565847E+01    0.7529163151E+00    0.1137604675E+01
        95    0.1348000000E+01    0.1188116966E+01   -0.6029215973E+00   -0.6527651085E+00    0.6192323651E+00    0.4116145544E-01
        96    0.7660000000E+00    0.8677964227E+00   -0.6965645332E+00   -0.9073899511E+00    0.9821109998E+00    0.7519215678E+01
        97    0.9800000000E+00    0.9606949162E+00   -0.2192516898E+00   -0.8631056508E+00    0.5874394456E+00    0.3189529897E-02
        98    0.8790000000E+00    0.1026220175E+01   -0.2268893571E+00   -0.5891753680E+00    0.6600082422E+00    0.6114639839E-03
        99    0.2251000000E+01    0.2042640823E+01   -0.2880851986E+01   -0.1285811991E+01    0.7529163151E+00    0.2081788881E+00
       100    0.1058000000E+01    0.1085010782E+01   -0.4709551216E+00   -0.8084705472E+00    0.6192323651E+00    0.4917427252E-01
       101    0.2335000000E+01    0.2315449913E+01   -0.3974773718E+01   -0.2102302605E+01    0.7529163151E+00    0.6073838952E+00
       102    0.8790000000E+00    0.8984953980E+00   -0.2177969093E+00   -0.8819622858E+00    0.9305732343E+00    0.2158611178E-01
       103    0.9340000000E+00    0.1018461522E+01   -0.6152941548E+00   -0.1270101242E+01    0.6831245235E+00    0.3100728048E-02
       104    0.9420000000E+00    0.9486058111E+00   -0.2998854590E+00   -0.1046515602E+01    0.5874394456E+00    0.1862717684E-02
       105    0.6650000000E+00    0.6295934997E+00   -0.1636112679E+00   -0.1768951612E+01    0.9651268068E+00    0.5870119604E-02
       106    0.7100000000E+00    0.7882748296E+00   -0.1510590333E+00   -0.1177649064E+01    0.9305732343E+00    0.1561562734E-01
       107    0.2799000000E+01    0.2752014306E+01   -0.4230311199E+01   -0.1068670898E+01    0.6031675361E+00    0.1017501477E+00
       108    0.1413000000E+01    0.1519022017E+01   -0.8732410917E+00   -0.8172286949E+00   -0.9542588778E+00    0.2271816578E+00
       109    0.2039000000E+01    0.2068389535E+01   -0.2663898204E+01   -0.7392753262E+00    0.8601713726E+00    0.3256661982E+00
       110    0.1785000000E+01    0.1843094390E+01   -0.2252076710E+01   -0.8877490319E+00    0.8601713726E+00    0.1719569772E+00
       111    0.2069000000E+01    0.2017330342E+01   -0.2583136728E+01   -0.8227917856E+00    0.8689088294E+00    0.4305541342E-02
       112    0.1031000000E+01    0.1051254488E+01   -0.5238349049E+00   -0.1034409251E+01    0.6115671161E+00    0.5093935319E-02
       113    0.9360000000E+00    0.9747446553E+00   -0.3276450327E+00   -0.8924808485E+00    0.7529340548E+00    0.3972539473E-01
       114    0.1116000000E+01    0.9127754418E+00   -0.5251189792E+00   -0.1444262339E+01    0.7708122032E+00    0.9458508032E-01
       115    0.9590000000E+00    0.9391383567E+00   -0.2226773138E+00   -0.8717661900E+00    0.7154842485E+00    0.1863301898E-02
