     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3
        20    0.8490000000E+00    0.6902050102E+00   -0.3393026415E+00   -0.1967547667E+01    0.6115671161E+00
        21    0.1008000000E+01    0.9907340410E+00   -0.3754623558E+00   -0.9182293528E+00    0.6808881056E+00
        22    0.9080000000E+00    0.1067249965E+01   -0.2608138051E+00   -0.4741292902E+00    0.6600082422E+00
        23    0.1234000000E+01    0.1145985309E+01   -0.7509501592E+00   -0.9225131169E+00    0.7708122032E+00
        24    0.9460000000E+00    0.8278028272E+00   -0.3648679559E+00   -0.1357210677E+01    0.8678994282E+00
        25    0.2121000000E+01    0.2063915850E+01   -0.2698225282E+01   -0.7825801570E+00    0.8689088294E+00
        26    0.1147000000E+01    0.1029197833E+01   -0.3151512372E+00   -0.6374863204E+00    0.7529340548E+00
        27    0.1092000000E+01    0.1087008624E+01   -0.7574353190E+00   -0.1141799022E+01    0.7708122032E+00
        28    0.1013000000E+01    0.9698251476E+00   -0.3086663017E+00   -0.8370472554E+00    0.7529340548E+00
        29    0.2399000000E+01    0.2261085849E+01   -0.3263425621E+01   -0.1080082072E+01    0.7529163151E+00
        30    0.1324000000E+01    0.1183681946E+01   -0.5217711568E+00   -0.6347990963E+00    0.4306171578E+00
        31    0.1217000000E+01    0.1157466039E+01   -0.6854287487E+00   -0.9149515340E+00    0.5536520302E+00
        32    0.9580000000E+00    0.8579399418E+00   -0.1946474464E+00   -0.9329427648E+00    0.9305732343E+00
        33    0.8320000000E+00    0.8875500699E+00   -0.1205544866E+00   -0.6660650057E+00    0.9948827983E+00
        34    0.1151000000E+01    0.1017013029E+01   -0.2381065727E+00   -0.5055054933E+00    0.8299976423E+00
        35    0.8250000000E+00    0.9393741308E+00   -0.1385144489E+00   -0.7137267053E+00    0.6813765137E+00
        36    0.1104000000E+01    0.1029072502E+01   -0.2748983779E+00   -0.5964716037E+00    0.7154842485E+00
        37    0.8260000000E+00    0.8905137354E+00   -0.1544173730E+00   -0.9125505732E+00    0.6813765137E+00
        38    0.8810000000E+00    0.9999498756E+00   -0.2607396880E+00   -0.6984325616E+00    0.6813765137E+00
        39    0.1072000000E+01    0.1086053552E+01   -0.2845465186E+00   -0.4462393320E+00    0.6600082422E+00
        40    0.1163000000E+01    0.1096413697E+01   -0.6571177305E+00   -0.8090893731E+00    0.9821109998E+00
        41    0.9870000000E+00    0.9816304106E+00   -0.2662141400E+00   -0.6117657474E+00    0.9305732343E+00
        42    0.2086000000E+01    0.2061856786E+01   -0.2667165482E+01   -0.7392753262E+00    0.8689088294E+00
        43    0.2373000000E+01    0.2431510618E+01   -0.3712524603E+01   -0.1219501326E+01    0.7357576500E+00
        44    0.1741000000E+01    0.1544921799E+01   -0.1588274425E+01   -0.9191054820E+00    0.7015705919E+00
        45    0.9860000000E+00    0.8337855057E+00   -0.2330346767E+00   -0.1288901546E+01    0.6075430751E+00
        46    0.1221000000E+01    0.1002884313E+01   -0.2074086883E+00   -0.5055054933E+00    0.8299976423E+00
        47    0.2253000000E+01    0.2388857542E+01   -0.3467367412E+01   -0.1056480735E+01    0.6031675361E+00
        48    0.1041000000E+01    0.9912320312E+00   -0.2542253279E+00   -0.5891753680E+00    0.8825437380E+00
        49    0.9780000000E+00    0.1002433809E+01   -0.2250562592E+00   -0.5020192485E+00    0.8825437380E+00
        50    0.2058000000E+01    0.1977562956E+01   -0.2508704770E+01   -0.7794869548E+00    0.8689088294E+00
        51    0.2200000000E+01    0.2324882901E+01   -0.3470256885E+01   -0.1056480735E+01    0.9621903702E+00
        52    0.2120000000E+01    0.2103030172E+01   -0.2736790905E+01   -0.8506306055E+00    0.6457427874E+00
        53    0.7820000000E+00    0.8549856988E+00   -0.2667475375E+00   -0.1175192173E+01    0.7529340548E+00
        54    0.8700000000E+00    0.8107381398E+00   -0.1748520640E+00   -0.1341509773E+01    0.5053072417E+00
        55    0.1017000000E+01    0.1033116214E+01   -0.2805544409E+00   -0.5913735558E+00    0.7154842485E+00
        56    0.7840000000E+00    0.9627279243E+00   -0.3736027157E+00   -0.1054006047E+01    0.6192323651E+00
        57    0.2274000000E+01    0.2170826483E+01   -0.2798638942E+01   -0.7114365064E+00    0.6457427874E+00
        58    0.2090000000E+01    0.2064168101E+01   -0.2689278352E+01   -0.7671141460E+00    0.8689088294E+00
        59    0.8470000000E+00    0.1012493119E+01   -0.2701741553E+00   -0.6474520827E+00    0.7154842485E+00
        60    0.2149000000E+01    0.2027789705E+01   -0.2602641921E+01   -0.7547413372E+00    0.8689088294E+00
        61    0.1039000000E+01    0.1029551191E+01   -0.3854234619E+00   -0.9581873152E+00    0.4306171578E+00
        62    0.2491000000E+01    0.2497414892E+01   -0.4139163722E+01   -0.1568690628E+01    0.9105262951E+00
        63    0.2735000000E+01    0.2602021819E+01   -0.3838214722E+01   -0.9061353999E+00    0.6031675361E+00
        64    0.2085000000E+01    0.2000284481E+01   -0.2594153520E+01   -0.8382577967E+00    0.8689088294E+00
        65    0.1189000000E+01    0.1091200459E+01   -0.6458442621E+00   -0.9451978657E+00    0.7708122032E+00
        66    0.9620000000E+00    0.9578774159E+00   -0.2031577617E+00   -0.6240378158E+00    0.8825437380E+00
        67    0.1234000000E+01    0.1229718424E+01   -0.1197763690E+00   -0.7085797933E+00   -0.9542588778E+00
        68    0.1115000000E+01    0.1079446347E+01   -0.2616296459E+00   -0.4322943529E+00    0.6600082422E+00
        69    0.8590000000E+00    0.8989727539E+00   -0.1221720211E+00   -0.6282740834E+00    0.9948827983E+00
        70    0.2265000000E+01    0.2213161088E+01   -0.3518472716E+01   -0.1665126528E+01    0.7529163151E+00
        71    0.2462000000E+01    0.2388382525E+01   -0.4083826660E+01   -0.1864427386E+01    0.9105262951E+00
        72    0.9110000000E+00    0.9270102586E+00   -0.1987967813E+00   -0.7600013623E+00    0.8299976423E+00
        73    0.7420000000E+00    0.6847583465E+00   -0.1635501421E+00   -0.1768951612E+01    0.5053072417E+00
        74    0.1346000000E+01    0.1264840347E+01   -0.1235840947E+00   -0.5904831611E+00   -0.9542588778E+00
        75    0.1012000000E+01    0.8549164746E+00   -0.1943379287E+00   -0.9431388606E+00    0.9305732343E+00
        76    0.1840000000E+01    0.1933592877E+01   -0.2485331695E+01   -0.8970286385E+00    0.8689088294E+00
        77    0.7630000000E+00    0.8616333447E+00   -0.1896531783E+00   -0.1050197866E+01    0.7154842485E+00
        78    0.1221000000E+01    0.1113411225E+01   -0.6801754738E+00   -0.9225131169E+00    0.7708122032E+00
        79    0.8710000000E+00    0.9904883830E+00   -0.1676031241E+00   -0.6377218139E+00    0.5920381765E+00
        80    0.1048000000E+01    0.7625215317E+00   -0.3141636971E+00   -0.1505655595E+01    0.8678994282E+00
        81    0.1116000000E+01    0.1045713209E+01   -0.2165095253E+00   -0.5717441441E+00    0.5146696434E+00
        82    0.1185000000E+01    0.1087558759E+01   -0.6657853960E+00   -0.9905673633E+00    0.7708122032E+00
        83    0.1193000000E+01    0.1194026883E+01   -0.6707395866E+00   -0.7369229850E+00    0.5920381765E+00
        84    0.7470000000E+00    0.9595681740E+00   -0.3302522008E+00   -0.9009158767E+00    0.7647274409E+00
        85    0.9590000000E+00    0.9262989216E+00   -0.1647727415E+00   -0.6423540348E+00    0.9305732343E+00
        86    0.2181000000E+01    0.2048537170E+01   -0.2672407567E+01   -0.7949529658E+00    0.8689088294E+00
        87    0.9720000000E+00    0.1009007300E+01   -0.2414789808E+00   -0.5055054933E+00    0.8825437380E+00
        88    0.1224000000E+01    0.1151684590E+01   -0.7122682882E+00   -0.8393357048E+00    0.7708122032E+00
        89    0.1221000000E+01    0.1193586526E+01   -0.7314129845E+00   -0.8620204535E+00    0.5536520302E+00
        90    0.1145000000E+01    0.9817662346E+00   -0.4162883040E+00   -0.9700878788E+00    0.7529340548E+00
        91    0.1008000000E+01    0.9239420448E+00   -0.2736358679E+00   -0.9423710823E+00    0.7529340548E+00
        92    0.1082000000E+01    0.9831713954E+00   -0.2798093766E+00   -0.7428101472E+00    0.7529340548E+00
        93    0.1092000000E+01    0.1056417684E+01   -0.2504689568E+00   -0.5891753680E+00    0.5146696434E+00
