     Index       y_measurement           y_fitting        descriptor_1
        56    0.7840000000E+00    0.9111328249E+00    0.5234173259E+02
        57    0.2274000000E+01    0.2212499197E+01    0.1578136147E+03
        58    0.2090000000E+01    0.2083884878E+01    0.1473898059E+03
        59    0.8470000000E+00    0.9689589934E+00    0.5702837192E+02
        60    0.2149000000E+01    0.2028829036E+01    0.1429276933E+03
        61    0.1039000000E+01    0.9696797745E+00    0.5708678909E+02
        62    0.2491000000E+01    0.2620775995E+01    0.1909032375E+03
        63    0.2735000000E+01    0.2610934982E+01    0.1901056526E+03
        64    0.2085000000E+01    0.1930836060E+01    0.1349856534E+03
        65    0.1189000000E+01    0.1227466814E+01    0.7797966358E+02
        66    0.9620000000E+00    0.8649683689E+00    0.4860024044E+02
        67    0.1234000000E+01    0.8234753007E+00    0.4523735041E+02
        68    0.1115000000E+01    0.1005769703E+01    0.6001177070E+02
        69    0.8590000000E+00    0.9176364019E+00    0.5286882820E+02
        70    0.2265000000E+01    0.2666665857E+01    0.1946224746E+03
        71    0.2462000000E+01    0.2348270686E+01    0.1688174910E+03
        72    0.9110000000E+00    0.7992058394E+00    0.4327038260E+02
        73    0.7420000000E+00    0.7933930329E+00    0.4279927188E+02
        74    0.1346000000E+01    0.9641478805E+00    0.5663844550E+02
        75    0.1012000000E+01    0.8474635176E+00    0.4718152419E+02
        76    0.1840000000E+01    0.1759892872E+01    0.1211312154E+03
        77    0.7630000000E+00    0.8259232370E+00    0.4543574838E+02
        78    0.1221000000E+01    0.1236032427E+01    0.7867388108E+02
        79    0.8710000000E+00    0.9317303284E+00    0.5401109911E+02
        80    0.1048000000E+01    0.9508133379E+00    0.5555772040E+02
        81    0.1116000000E+01    0.9063377792E+00    0.5195310836E+02
        82    0.1185000000E+01    0.1184254646E+01    0.7447744558E+02
        83    0.1193000000E+01    0.1446696849E+01    0.9574760726E+02
        84    0.7470000000E+00    0.1036492138E+01    0.6250173289E+02
        85    0.9590000000E+00    0.9227513661E+00    0.5328338087E+02
        86    0.2181000000E+01    0.2028829036E+01    0.1429276933E+03
        87    0.9720000000E+00    0.9491007801E+00    0.5541892267E+02
        88    0.1224000000E+01    0.1244159066E+01    0.7933252108E+02
        89    0.1221000000E+01    0.1230920626E+01    0.7825958476E+02
        90    0.1145000000E+01    0.9733287878E+00    0.5738253079E+02
        91    0.1008000000E+01    0.9147850164E+00    0.5263773187E+02
        92    0.1082000000E+01    0.9864407570E+00    0.5844521698E+02
        93    0.1092000000E+01    0.9244971816E+00    0.5342487403E+02
        94    0.2428000000E+01    0.2725258390E+01    0.1993712255E+03
        95    0.1348000000E+01    0.1196123955E+01    0.7543941788E+02
        96    0.7660000000E+00    0.1191693906E+01    0.7508037550E+02
        97    0.9800000000E+00    0.9010237457E+00    0.5152242172E+02
        98    0.8790000000E+00    0.8991998805E+00    0.5137460286E+02
        99    0.2251000000E+01    0.2228976699E+01    0.1591490674E+03
