     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3        descriptor_4
        49    0.4510000000E+00    0.2866774935E+00   -0.3581269430E+01    0.7152627632E-02    0.9776907150E+00    0.7360187910E-04
        50    0.2740000000E+00    0.5904907213E+00   -0.3938109631E+01    0.6538802562E-02    0.7653475247E+00    0.4149092451E-04
        51    0.5620000000E+00    0.5908030503E+00   -0.4061384335E+01    0.6574466351E-02    0.8065395098E+00    0.1177562516E-04
        52    0.1690000000E+00    0.2372003373E+00   -0.2082215610E+01    0.6341612520E-02    0.9435463986E+00    0.1207730049E-04
        53    0.8000000000E+00    0.8175413904E+00   -0.3320606601E+01    0.5160363455E-02    0.9607776696E+00    0.1062183318E-04
        54   -0.5020000000E+00   -0.4539188182E+00   -0.1805982636E+01    0.8525511870E-02    0.9492420307E+00    0.2957740564E-04
        55   -0.1230000000E+00    0.1718466520E-02   -0.2456858436E+01    0.7486753687E-02    0.8587212699E+00    0.5307510303E-04
        56    0.1970000000E+00    0.3879379703E+00   -0.2430717300E+01    0.6098478722E-02    0.8988698969E+00    0.1203826804E-04
        57    0.2900000000E-01   -0.6246941649E-01   -0.1679813486E+01    0.7049132382E-02    0.9986024050E+00    0.9685390482E-05
        58   -0.1070000000E+00   -0.1779846517E-01   -0.1671717168E+01    0.7202767204E-02    0.6609301221E+00    0.9601177486E-06
        59    0.1740000000E+00    0.1953377381E+00   -0.2228907563E+01    0.6537385937E-02    0.9934298750E+00    0.1651981708E-04
        60    0.1103000000E+01    0.9043895989E+00   -0.3567525685E+01    0.5059901134E-02    0.9326171204E+00    0.3888587706E-04
        61    0.1239000000E+01    0.1112329084E+01   -0.3460540324E+01    0.4270189402E-02    0.9326171204E+00    0.1452987151E-04
        62   -0.2350000000E+00   -0.1336212316E+00   -0.2167684729E+01    0.7675374635E-02    0.9435463986E+00    0.3668730466E-04
        63   -0.1600000000E-01    0.7606030902E-01   -0.1843680556E+01    0.6682752051E-02    0.9986024050E+00    0.7041305661E-05
        64    0.2800000000E-01   -0.1816306954E+00   -0.1605659341E+01    0.7409150479E-02    0.9986024050E+00    0.1363404748E-04
        65    0.1810000000E+00    0.2462686491E+00   -0.2172999036E+01    0.6370974858E-02    0.9435463986E+00    0.1213369246E-04
        66    0.2700000000E-01   -0.2129216048E+00   -0.1573097222E+01    0.7494849539E-02    0.9986024050E+00    0.1413781714E-04
        67    0.2800000000E+00    0.3303714948E+00   -0.2111994421E+01    0.6041273984E-02    0.9435463986E+00    0.8691465220E-05
        68    0.1550000000E+00    0.2201111698E+00   -0.2649385908E+01    0.6906358754E-02    0.8065395098E+00    0.1688854828E-04
        69    0.5840000000E+00    0.4835176651E+00   -0.3114894932E+01    0.6449785572E-02    0.6565898178E+00    0.3742629259E-05
        70    0.7100000000E-01    0.1538460918E+00   -0.2361060546E+01    0.6766636961E-02    0.9923920243E+00    0.8419651959E-05
        71    0.7860000000E+00    0.7898236445E+00   -0.3940228069E+01    0.5749135589E-02    0.8714258650E+00    0.2783635503E-05
        72    0.7100000000E-01    0.6345742450E-01   -0.1785593870E+01    0.6687361375E-02    0.9986024050E+00    0.7369622558E-05
        73    0.4770000000E+00    0.3408250094E+00   -0.2858142857E+01    0.6584741941E-02    0.8587212699E+00    0.2429774400E-04
        74    0.7270000000E+00    0.6285948051E+00   -0.3477278526E+01    0.5899548651E-02    0.9776907150E+00    0.2324947150E-04
        75    0.6400000000E+00    0.6223449149E+00   -0.2111111111E+01    0.6040649950E-02    0.6610971459E-02    0.5562537741E-03
        76    0.9800000000E+00    0.1451444075E+01   -0.4178904762E+01    0.4116056324E-02    0.5376192258E+00    0.7045624932E-03
        77    0.4260000000E+00    0.4716027170E+00   -0.2093332424E+01    0.5614580136E-02    0.8664293010E+00    0.5109015976E-06
        78    0.6510000000E+00    0.6312644241E+00   -0.2094604481E+01    0.5996670648E-02    0.6610971459E-02    0.5459887077E-03
