     Index       y_measurement           y_fitting        descriptor_1        descriptor_2
        40    0.1105000000E+01    0.6947611686E+00   -0.3853384374E+01    0.5060372964E+01
        41    0.1890000000E+00    0.2757259969E+00   -0.2687111699E+01    0.4976732363E+01
        42    0.5090000000E+00    0.6845996552E+00   -0.4045555556E+01    0.5021171592E+01
        43   -0.6280000000E+00   -0.3330790547E+00   -0.1933473389E+01    0.4696572741E+01
        44    0.3560000000E+00    0.3965656528E+00   -0.2028215768E+01    0.5168667858E+01
        45    0.5960000000E+00    0.7415932140E+00   -0.3106561680E+01    0.5217629951E+01
        46    0.1760000000E+00    0.1886028322E+00   -0.1936540378E+01    0.5045016722E+01
        47    0.7370000000E+00    0.1015021992E+01   -0.4368020833E+01    0.5187821688E+01
        48    0.5630000000E+00    0.7064407052E+00   -0.3420000000E+01    0.5141263476E+01
        49    0.4510000000E+00    0.4466253973E+00   -0.3581269430E+01    0.4940275489E+01
        50    0.2740000000E+00    0.6707144182E+00   -0.3938109631E+01    0.5030001225E+01
        51    0.5620000000E+00    0.6936581184E+00   -0.4061384335E+01    0.5024561868E+01
        52    0.1690000000E+00    0.2486544226E+00   -0.2082215610E+01    0.5060622202E+01
        53    0.8000000000E+00    0.8689798007E+00   -0.3320606601E+01    0.5266748265E+01
        54   -0.5020000000E+00   -0.2633814682E+00   -0.1805982636E+01    0.4764692214E+01
        55   -0.1230000000E+00    0.9492889211E-01   -0.2456858436E+01    0.4894619995E+01
        56    0.1970000000E+00    0.3949487827E+00   -0.2430717300E+01    0.5099715929E+01
        57    0.2900000000E-01   -0.1090760394E-01   -0.1679813486E+01    0.4954850736E+01
        58   -0.1070000000E+00   -0.4518092090E-01   -0.1671717168E+01    0.4933289993E+01
        59    0.1740000000E+00    0.2401796615E+00   -0.2228907563E+01    0.5030217897E+01
        60    0.1103000000E+01    0.9606145574E+00   -0.3567525685E+01    0.5286408335E+01
        61    0.1239000000E+01    0.1187322893E+01   -0.3460540324E+01    0.5456097096E+01
        62   -0.2350000000E+00   -0.1516377751E-01   -0.2167684729E+01    0.4869738174E+01
        63   -0.1600000000E-01    0.1101931111E+00   -0.1843680556E+01    0.5008225393E+01
        64    0.2800000000E-01   -0.1040661776E+00   -0.1605659341E+01    0.4905039492E+01
        65    0.1810000000E+00    0.2646334347E+00   -0.2172999036E+01    0.5056002782E+01
        66    0.2700000000E-01   -0.1294669026E+00   -0.1573097222E+01    0.4893539222E+01
        67    0.2800000000E+00    0.3286936833E+00   -0.2111994421E+01    0.5109140365E+01
        68    0.1550000000E+00    0.2640937272E+00   -0.2649385908E+01    0.4975312733E+01
        69    0.5840000000E+00    0.4836886311E+00   -0.3114894932E+01    0.5043708393E+01
        70    0.7100000000E-01    0.2219665986E+00   -0.2361060546E+01    0.4995751072E+01
        71    0.7860000000E+00    0.8636561903E+00   -0.3940228069E+01    0.5158705768E+01
        72    0.7100000000E-01    0.9451974852E-01   -0.1785593870E+01    0.5007535896E+01
        73    0.4770000000E+00    0.3880081577E+00   -0.2858142857E+01    0.5023000133E+01
        74    0.7270000000E+00    0.7083457906E+00   -0.3477278526E+01    0.5132879431E+01
        75    0.6400000000E+00    0.3286254461E+00   -0.2111111111E+01    0.5109243665E+01
        76    0.9800000000E+00    0.1423368094E+01   -0.4178904762E+01    0.5492859777E+01
        77    0.4260000000E+00    0.4334920972E+00   -0.2093332424E+01    0.5182388469E+01
        78    0.6510000000E+00    0.3353883617E+00   -0.2094604481E+01    0.5116550856E+01
        79    0.1147000000E+01    0.7749846320E+00   -0.4162366701E+01    0.5061934650E+01
