     Index       y_measurement           y_fitting        descriptor_1
       143    0.1201000000E+01    0.7484826784E+00   -0.1807825176E+02
       144    0.5790000000E+00    0.5519228283E+00   -0.1546079852E+02
       145    0.9300000000E+00    0.7656841676E+00   -0.1830731224E+02
       146    0.9730000000E+00    0.7919812116E+00   -0.1865749201E+02
       147    0.4940000000E+00    0.4373948361E+00   -0.1393570749E+02
       148    0.2790000000E+00    0.9672847590E-01   -0.9399286305E+01
       149   -0.3380000000E+00   -0.6917706640E-01   -0.7190035540E+01
       150    0.5970000000E+00    0.5495241027E+00   -0.1542885633E+02
       151   -0.1930000000E+00    0.7480579234E-01   -0.9107356905E+01
       152    0.9790000000E+00    0.8060428799E+00   -0.1884474164E+02
       153   -0.1200000000E-01    0.1104293763E+00   -0.9581731835E+01
       154    0.2570000000E+00    0.1358628287E+00   -0.9920411746E+01
       155    0.9260000000E+00    0.7969423875E+00   -0.1872355660E+02
       156    0.1340000000E+00    0.1637310748E+00   -0.1029151414E+02
       157   -0.5360000000E+00   -0.1419703017E+00   -0.6220697756E+01
       158    0.3790000000E+00    0.2246483555E+00   -0.1110270795E+02
       159   -0.3260000000E+00    0.2068058594E+00   -0.1086511162E+02
       160    0.4020000000E+00    0.4283831535E+00   -0.1381570507E+02
       161    0.9100000000E+00    0.9088709019E+00   -0.2021403216E+02
       162    0.7480000000E+00    0.5652455828E+00   -0.1563820854E+02
       163   -0.1260000000E+00    0.3983169831E-02   -0.8164260425E+01
       164    0.3490000000E+00    0.7797447070E-01   -0.9149552030E+01
       165    0.8790000000E+00    0.8421955718E+00   -0.1932616234E+02
       166    0.6700000000E+00    0.8539647541E+00   -0.1948288450E+02
       167    0.7010000000E+00    0.6790308478E+00   -0.1715340918E+02
       168    0.5580000000E+00    0.5713605379E+00   -0.1571963722E+02
       169    0.7200000000E+00    0.6965436919E+00   -0.1738661576E+02
       170    0.1810000000E+00    0.1202239405E+00   -0.9712159356E+01
       171   -0.1120000000E+00    0.1456544705E+00   -0.1005080035E+02
       172    0.3670000000E+00    0.2031266987E+00   -0.1081611875E+02
       173    0.1260000000E+00    0.4475070016E+00   -0.1407036429E+02
       174    0.8770000000E+00    0.6965436919E+00   -0.1738661576E+02
       175    0.2570000000E+00    0.1295747428E+00   -0.9836677602E+01
       176    0.5800000000E+00    0.3892443055E+00   -0.1329451977E+02
       177    0.1161000000E+01    0.1092731079E+01   -0.2266237253E+02
       178    0.9390000000E+00    0.6733988385E+00   -0.1707841156E+02
       179   -0.6350000000E+00   -0.1920092032E+00   -0.5554363889E+01
       180    0.2510000000E+00    0.1633247094E+00   -0.1028610285E+02
       181   -0.1890000000E+00   -0.4139344696E-03   -0.8105707191E+01
       182    0.2720000000E+00    0.5663074147E+00   -0.1565234823E+02
       183    0.1670000000E+00    0.9220388597E-01   -0.9339035432E+01
       184    0.3670000000E+00    0.2910227870E+00   -0.1198657091E+02
       185    0.4450000000E+00    0.4764872928E+00   -0.1445627503E+02
       186   -0.3550000000E+00   -0.5522195371E-01   -0.7375866242E+01
       187    0.6040000000E+00    0.7267878994E+00   -0.1778935721E+02
       188    0.1960000000E+00    0.9614699228E-01   -0.9391543085E+01
       189    0.9200000000E+00    0.2402748048E+00   -0.1131079470E+02
       190    0.7080000000E+00    0.6670730398E+00   -0.1699417522E+02
       191    0.9950000000E+00    0.7482852491E+00   -0.1807562273E+02
       192    0.8010000000E+00    0.5258832811E+00   -0.1511404766E+02
       193    0.6040000000E+00    0.5867398077E+00   -0.1592443245E+02
       194    0.8450000000E+00    0.1219877113E+01   -0.2435548940E+02
       195    0.5710000000E+00    0.6413793623E+00   -0.1665203007E+02
       196    0.1067000000E+01    0.8329693975E+00   -0.1920330368E+02
       197    0.1168000000E+01    0.1135569457E+01   -0.2323282194E+02
       198    0.2700000000E+00    0.2160936454E+00   -0.1098879072E+02
       199    0.2800000000E+00    0.1087438920E+00   -0.9559287393E+01
       200    0.2650000000E+00    0.4475070016E+00   -0.1407036429E+02
