     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3
        31    0.7260000000E+00    0.7437202229E+00   -0.4168421053E+01    0.6236560213E-02    0.8065395098E+00
        32    0.3000000000E+00    0.2027895476E+00   -0.1966355662E+01    0.6268380459E-02    0.9986024050E+00
        33    0.1339000000E+01    0.1316077685E+01   -0.4477804233E+01    0.5844723238E-02   -0.2815307196E+00
        34    0.6370000000E+00    0.6350081805E+00   -0.2791395374E+01    0.5978900708E-02    0.5057389475E+00
        35    0.4410000000E+00    0.3650844695E+00   -0.1901095571E+01    0.6683519830E-02    0.2305190056E+00
        36    0.7910000000E+00    0.6652804128E+00   -0.4161832960E+01    0.6592715735E-02    0.7612778305E+00
        37   -0.2080000000E+00   -0.1079701255E+00   -0.2112792434E+01    0.7653498567E-02    0.9349010057E+00
        38    0.1580000000E+00    0.2969211043E+00   -0.2001800615E+01    0.6017031810E-02    0.9435463986E+00
        39    0.1000000000E+00   -0.2222042567E-01   -0.1754785714E+01    0.7857617457E-02    0.3575199957E+00
        40    0.1105000000E+01    0.9725275056E+00   -0.3853384374E+01    0.6343193292E-02   -0.6248552400E-01
        41    0.1890000000E+00    0.2595214157E+00   -0.2687111699E+01    0.6896561237E-02    0.8065395098E+00
        42    0.5090000000E+00    0.6622999093E+00   -0.4045555556E+01    0.6596793431E-02    0.7008661131E+00
        43   -0.6280000000E+00   -0.5434104253E+00   -0.1933473389E+01    0.9126502450E-02    0.9608003892E+00
        44    0.3560000000E+00    0.3880882547E+00   -0.2028215768E+01    0.5692146517E-02    0.9435463986E+00
        45    0.5960000000E+00    0.7190717813E+00   -0.3106561680E+01    0.5420159960E-02    0.8535126361E+00
        46    0.1760000000E+00    0.2764170002E+00   -0.1936540378E+01    0.6441352648E-02    0.6609301221E+00
        47    0.7370000000E+00    0.9371796830E+00   -0.4368020833E+01    0.5584157611E-02    0.8611924172E+00
        48    0.5630000000E+00    0.6694033552E+00   -0.3420000000E+01    0.5850293334E-02    0.8587212699E+00
        49    0.4510000000E+00    0.3156979979E+00   -0.3581269430E+01    0.7152627632E-02    0.9776907150E+00
        50    0.2740000000E+00    0.6311243904E+00   -0.3938109631E+01    0.6538802562E-02    0.7653475247E+00
        51    0.5620000000E+00    0.6322363072E+00   -0.4061384335E+01    0.6574466351E-02    0.8065395098E+00
        52    0.1690000000E+00    0.2282077910E+00   -0.2082215610E+01    0.6341612520E-02    0.9435463986E+00
        53    0.8000000000E+00    0.7925228721E+00   -0.3320606601E+01    0.5160363455E-02    0.9607776696E+00
        54   -0.5020000000E+00   -0.4074040593E+00   -0.1805982636E+01    0.8525511870E-02    0.9492420307E+00
        55   -0.1230000000E+00    0.3634463704E-01   -0.2456858436E+01    0.7486753687E-02    0.8587212699E+00
        56    0.1970000000E+00    0.3818812630E+00   -0.2430717300E+01    0.6098478722E-02    0.8988698969E+00
        57    0.2900000000E-01   -0.6301604175E-01   -0.1679813486E+01    0.7049132382E-02    0.9986024050E+00
        58   -0.1070000000E+00    0.2025708365E-01   -0.1671717168E+01    0.7202767204E-02    0.6609301221E+00
        59    0.1740000000E+00    0.1887920711E+00   -0.2228907563E+01    0.6537385937E-02    0.9934298750E+00
        60    0.1103000000E+01    0.8811790569E+00   -0.3567525685E+01    0.5059901134E-02    0.9326171204E+00
        61    0.1239000000E+01    0.1066929423E+01   -0.3460540324E+01    0.4270189402E-02    0.9326171204E+00
        62   -0.2350000000E+00   -0.1054524429E+00   -0.2167684729E+01    0.7675374635E-02    0.9435463986E+00
        63   -0.1600000000E-01    0.6787529560E-01   -0.1843680556E+01    0.6682752051E-02    0.9986024050E+00
        64    0.2800000000E-01   -0.1734417126E+00   -0.1605659341E+01    0.7409150479E-02    0.9986024050E+00
