     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3        descriptor_4
       117    0.1472000000E+01    0.1528814365E+01   -0.4831889630E+01   -0.2394732480E+00   -0.9275762031E+01    0.5141259516E+01
       118    0.1198000000E+01    0.1261820622E+01   -0.5076872969E+01   -0.1388487404E+00   -0.5366633963E+01    0.7572970701E+02
       119    0.1067000000E+01    0.9681206790E+00   -0.5364585020E+01   -0.3305901790E+00   -0.5366633963E+01    0.1682190724E+02
       120    0.1081000000E+01    0.1061884786E+01   -0.5084062316E+01   -0.4015118749E+00   -0.3038674914E+01    0.2631630305E+02
       121    0.1198000000E+01    0.1258635451E+01   -0.4853511467E+01   -0.3221631728E+00    0.3000976643E+01    0.1098784775E+02
       122    0.1029000000E+01    0.1082058683E+01   -0.5186125043E+01   -0.1965511139E+00    0.3000976643E+01    0.3753852561E+02
       123    0.3474000000E+01    0.3418938114E+01   -0.1854317620E+01   -0.1656260698E+00    0.8111740210E+01    0.1057284455E+03
       124    0.4052000000E+01    0.3860486982E+01   -0.1450036759E+01   -0.1259464871E+00    0.8111740210E+01    0.5060973726E+02
       125    0.1010000000E+01    0.1157525501E+01   -0.5076159052E+01   -0.1339535609E+00    0.3000976643E+01    0.7464126039E+02
       126    0.9360000000E+00    0.7436976808E+00   -0.5394936383E+01   -0.3797990597E+00    0.4131380703E+01    0.3203799033E+02
       127    0.9530000000E+00    0.8252496087E+00   -0.4904841335E+01   -0.3458828568E+00    0.4131380703E+01    0.2076003493E+03
