     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3
        20    0.1375000000E+01    0.1198758706E+01   -0.5119735729E+01   -0.1803647029E+00    0.3778009163E+02
        21    0.3809000000E+01    0.3724376844E+01   -0.1614070276E+01   -0.2251628609E+00    0.7076703798E+02
        22    0.1464000000E+01    0.1499363672E+01   -0.3865122445E+01   -0.5837629255E+00    0.1450114614E+03
        23    0.4256000000E+01    0.4143262866E+01   -0.1535452535E+01    0.1466735948E-01    0.1836307124E+02
        24    0.1051000000E+01    0.1197612952E+01   -0.5116417105E+01   -0.1823383804E+00    0.3854227405E+02
        25    0.6890000000E+00    0.9697353105E+00   -0.5245028879E+01   -0.3378646127E+00    0.2319677541E+02
        26    0.7210000000E+00    0.8684247348E+00   -0.5176921008E+01   -0.4420315088E+00    0.4422248646E+02
        27    0.8590000000E+00    0.7781891438E+00   -0.5408931285E+01   -0.3862862471E+00    0.3158665890E+02
        28    0.1338000000E+01    0.1280992967E+01   -0.4899580077E+01   -0.1151132695E+00    0.1110739260E+03
        29    0.1202000000E+01    0.1289739695E+01   -0.4887010529E+01   -0.9981468362E-01    0.1191484848E+03
        30    0.2290000000E+01    0.1825810164E+01   -0.3842277521E+01   -0.4318866958E+00    0.7251681210E+02
        31    0.1284000000E+01    0.1239116094E+01   -0.4907433219E+01   -0.1472313112E+00    0.1122034230E+03
        32    0.6600000000E+00    0.6904302671E+00   -0.5096221244E+01   -0.3308844250E+00    0.2155606137E+03
        33    0.3319000000E+01    0.3373480138E+01   -0.2242833286E+01   -0.2153870612E+00    0.1647572222E+02
        34    0.1313000000E+01    0.1025458438E+01   -0.4887293037E+01   -0.5318688833E+00    0.2835439752E+02
        35    0.1015000000E+01    0.1204224868E+01   -0.5070020055E+01   -0.1375778321E+00    0.7482037186E+02
        36    0.9730000000E+00    0.9186084090E+00   -0.5379896644E+01   -0.3004201074E+00    0.1775645764E+02
        37    0.3798000000E+01    0.3914468434E+01   -0.1120176905E+01   -0.1341301668E+00    0.2045334789E+03
        38    0.2641000000E+01    0.2772604047E+01   -0.2320001053E+01   -0.3237618833E+00    0.2235984602E+03
        39    0.4820000000E+00    0.5111880873E+00   -0.5663427599E+01   -0.4663931507E+00    0.2745272467E+02
        40    0.3508000000E+01    0.3355642653E+01   -0.2272127529E+01   -0.2123316869E+00    0.1597773677E+02
        41    0.1132000000E+01    0.1209653689E+01   -0.5072585775E+01   -0.1297538904E+00    0.7521992822E+02
        42    0.1223000000E+01    0.9896079914E+00   -0.5228283009E+01   -0.3326442376E+00    0.2233160592E+02
        43    0.1145000000E+01    0.1004642313E+01   -0.5226111122E+01   -0.3206918952E+00    0.2190367263E+02
        44    0.4133000000E+01    0.4221671824E+01   -0.1151655947E+01    0.3117631135E-01    0.1283615304E+03
        45    0.1290000000E+01    0.1173997450E+01   -0.4830588417E+01   -0.2184198725E+00    0.1355980984E+03
        46    0.2827000000E+01    0.2913649917E+01   -0.1987943061E+01   -0.7099542989E+00    0.8119874635E+02
        47    0.1174000000E+01    0.1063270152E+01   -0.5111716725E+01   -0.2886414649E+00    0.5138062200E+02
        48    0.4073000000E+01    0.4218753365E+01   -0.1466337669E+01    0.8226609477E-01    0.4120032240E+02
        49    0.3543000000E+01    0.3790892577E+01   -0.1771344053E+01   -0.1237413643E+00    0.3273482322E+02
        50    0.3456000000E+01    0.3468899835E+01   -0.1917723995E+01   -0.3202052642E+00    0.3566416355E+02
        51    0.1121000000E+01    0.9986431944E+00   -0.5178651217E+01   -0.2389096923E+00    0.8334925130E+02
        52    0.8180000000E+00    0.8684247348E+00   -0.5176921008E+01   -0.4420315088E+00    0.4422248646E+02
        53    0.6060000000E+00    0.7112034062E+00   -0.5265777701E+01   -0.5641658068E+00    0.2610052316E+02
        54    0.2215000000E+01    0.2534958995E+01   -0.2025993128E+01   -0.9150415125E+00    0.1465003509E+03
        55    0.3506000000E+01    0.3292042370E+01   -0.1932181133E+01   -0.4820762105E+00    0.3398843749E+02
        56    0.3028000000E+01    0.2445420932E+01   -0.1890460842E+01   -0.1289772794E+01    0.4971015176E+02
        57    0.7030000000E+00    0.9248681908E+00   -0.4874420163E+01   -0.5879732366E+00    0.5323018766E+02
