Predictions (y,pred,y-pred) by the model of dimension:     1
    0.7890000000E+00    0.9193521225E+00   -0.1303521225E+00
    0.1050000000E+01    0.1030546945E+01    0.1945305495E-01
    0.5840000000E+00    0.6821761649E+00   -0.9817616487E-01
Prediction RMSE and MaxAE:         0.1318524886        0.3243535776
Predictions (y,pred,y-pred) by the model of dimension:     4
    0.2417000000E+01    0.2650767589E+01   -0.2337675895E+00
    0.3360000000E+00    0.5534829207E+00   -0.2174829207E+00
    0.2366000000E+01    0.2453228426E+01   -0.8722842628E-01
    0.9070000000E+00    0.1018465028E+01   -0.1114650278E+00
    0.6380000000E+00    0.6641144859E+00   -0.2611448590E-01
    0.7730000000E+00    0.9328661999E+00   -0.1598661999E+00
    0.2270000000E+01    0.2182879477E+01    0.8712052317E-01
    0.1025000000E+01    0.9928391558E+00    0.3216084420E-01
    0.9700000000E+00    0.9888909214E+00   -0.1889092145E-01
    0.1425000000E+01    0.1208365148E+01    0.2166348518E+00
    0.9100000000E+00    0.9008219976E+00    0.9178002404E-02
    0.9110000000E+00    0.9182465644E+00   -0.7246564426E-02
    0.1156000000E+01    0.1012829591E+01    0.1431704093E+00
    0.8860000000E+00    0.9783487467E+00   -0.9234874671E-01
    0.1160000000E+01    0.1157352009E+01    0.2647990864E-02
    0.8470000000E+00    0.9372067662E+00   -0.9020676622E-01
    0.1082000000E+01    0.1161729760E+01   -0.7972975960E-01
    0.1139000000E+01    0.1145611687E+01   -0.6611687470E-02
    0.1067000000E+01    0.9469758989E+00    0.1200241011E+00
    0.8370000000E+00    0.8863295567E+00   -0.4932955671E-01
    0.7760000000E+00    0.9746108836E+00   -0.1986108836E+00
    0.7340000000E+00    0.7876031959E+00   -0.5360319594E-01
    0.1145000000E+01    0.8906823646E+00    0.2543176354E+00
    0.7750000000E+00    0.8805877516E+00   -0.1055877516E+00
    0.9470000000E+00    0.9605325636E+00   -0.1353256357E-01
    0.2565000000E+01    0.2576271331E+01   -0.1127133138E-01
    0.2044000000E+01    0.2075178572E+01   -0.3117857163E-01
    0.2723000000E+01    0.2581361088E+01    0.1416389124E+00
    0.1225000000E+01    0.1130795025E+01    0.9420497502E-01
    0.1818000000E+01    0.1946305531E+01   -0.1283055308E+00
    0.3630000000E+00    0.5241368425E+00   -0.1611368425E+00
    0.1089000000E+01    0.1019358174E+01    0.6964182627E-01
    0.1016000000E+01    0.9726514837E+00    0.4334851631E-01
    0.7910000000E+00    0.8730432392E+00   -0.8204323916E-01
    0.2300000000E+01    0.2292226918E+01    0.7773082024E-02
    0.7380000000E+00    0.7917920974E+00   -0.5379209738E-01
    0.9010000000E+00    0.9602435656E+00   -0.5924356561E-01
    0.2567000000E+01    0.2606688416E+01   -0.3968841646E-01
    0.8670000000E+00    0.9824581583E+00   -0.1154581583E+00
    0.2284000000E+01    0.2457365037E+01   -0.1733650365E+00
    0.9470000000E+00    0.9620109899E+00   -0.1501098986E-01
    0.2423000000E+01    0.2633515708E+01   -0.2105157079E+00
    0.7890000000E+00    0.9328652692E+00   -0.1438652692E+00
    0.1050000000E+01    0.1038664677E+01    0.1133532287E-01
    0.5840000000E+00    0.7079292932E+00   -0.1239292932E+00
Prediction RMSE and MaxAE:         0.1155739649        0.2543176354
